Business Unit,Modelling Brand,Model Name,L1 Def,L1,L2 Def,L2,L3 Def,L3,L4 Def,L4,L5 Def,L5,L6 Def,L6,L7 Def,L7,L8 Def,L8,Impressions,Cost,Sessions,Avg Unit Price,TDP,Trade promo %,Rank,Metric 1
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,AMAZON.COM,Activity Nature,Brand Say,Audience,(NA),1452910126,5918611.644,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,BLIS,Activity Nature,Brand Say,Audience,(NA),48933707,237350.78,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,DAILYBREAK.COM,Activity Nature,Brand Say,Audience,(NA),90119.00001,198261.9,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,FACEBOOK.COM,Activity Nature,Brand Say,Audience,(NA),15761626,82169.68,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,"FOURSQUARE LABS, INC",Activity Nature,Brand Say,Audience,(NA),15568412,58740.98,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,INMARKET MEDIA LLC,Activity Nature,Brand Say,Audience,(NA),240342,123217.09,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Media iQ,Activity Nature,Brand Say,Audience,(NA),65417672,192703.99,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,PANDORA.COM,Activity Nature,Brand Say,Audience,(NA),5178522,56400.02,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,PINTEREST,Activity Nature,Brand Say,Audience,(NA),11213058,145643.59,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,SAM'S CLUB,Activity Nature,Brand Say,Audience,(NA),34,0,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,CbR Test,57343710,533368.04,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Contextual/Search,62486516,681878.07,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,General Market Hair Care Buyers,2746078,21454.85,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Hair Care Buyers,1445970,7519.03,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Hair Care for Curls Buyers,2716812,20307.06,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Multicultural Hair Care Buyers - 18-34,1801633,14338.88,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Nexxus Buyers,12963415,152082.92,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Nexxus Buyers - Lapsed,3750604,38906.87,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Ready to Wear Fashion Buyers,1777861,26593.43,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Salon Hair Care Buyers,2526963,19443.6,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Salon Hair Care Buyers - Lasped (No UL),5139740,51937.09,,,,,,Impressions
Beauty & Wellbeing,BnW HAIR Nexxus,B3-INC06,Brand Or Competition Or Halo Or Master Brand,Brand,Media Type,Paid Media,Master Channel,Commerce & Search,Channel,Commerce,Product Line,Non-Partnership,Platform,Target,Activity Nature,Brand Say,Audience,Salon Hair Care Spendalike Buyers,1560464,11945.67,,,,,,Impressions
